"","fips","SCC","Pollutant","Emissions","type","year"
"45","25005","2102001000","PM25-PRI",0.021,"NONPOINT",1999
"46","25005","2102002000","PM25-PRI",0.263,"NONPOINT",1999
"47","25005","2103001000","PM25-PRI",0.175,"NONPOINT",1999
"48","25005","2103002000","PM25-PRI",0.084,"NONPOINT",1999
"49","25007","2102001000","PM25-PRI",0.003,"NONPOINT",1999
"50","25007","2102002000","PM25-PRI",10.23,"NONPOINT",1999
"51","25007","2103001000","PM25-PRI",0.018,"NONPOINT",1999
"52","25009","10100202","PM25-PRI",511.399,"POINT",1999
"53","25009","2102001000","PM25-PRI",0.035,"NONPOINT",1999
"54","25009","2102002000","PM25-PRI",0.342,"NONPOINT",1999
"55","25009","2103001000","PM25-PRI",0.233,"NONPOINT",1999
"56","25009","2103002000","PM25-PRI",0.107,"NONPOINT",1999
"57","25011","2102001000","PM25-PRI",0.012,"NONPOINT",1999
"58","25011","2102002000","PM25-PRI",60.003,"NONPOINT",1999
"59","25011","2103001000","PM25-PRI",0.022,"NONPOINT",1999
"60","25011","2103002000","PM25-PRI",0.011,"NONPOINT",1999
"61","25013","10100202","PM25-PRI",365.352,"POINT",1999
"62","25013","10200204","PM25-PRI",0.002,"POINT",1999
"63","25013","2102001000","PM25-PRI",0.02,"NONPOINT",1999
"64","25013","2102002000","PM25-PRI",0.241,"NONPOINT",1999
"65","25013","2103001000","PM25-PRI",0.168,"NONPOINT",1999
"66","25013","2103002000","PM25-PRI",0.077,"NONPOINT",1999
"67","25015","2102001000","PM25-PRI",0.027,"NONPOINT",1999
"68","25015","2102002000","PM25-PRI",0.185,"NONPOINT",1999
"69","25015","2103001000","PM25-PRI",0.045,"NONPOINT",1999
"70","25015","2103002000","PM25-PRI",0.023,"NONPOINT",1999
"71","25017","2102001000","PM25-PRI",0.06,"NONPOINT",1999
"72","25017","2102002000","PM25-PRI",0.717,"NONPOINT",1999
"73","25017","2103001000","PM25-PRI",0.486,"NONPOINT",1999
"74","25017","2103002000","PM25-PRI",0.231,"NONPOINT",1999
"75","25019","2102002000","PM25-PRI",5.398,"NONPOINT",1999
"76","25019","2103001000","PM25-PRI",0.009,"NONPOINT",1999
"77","25021","2102001000","PM25-PRI",0.023,"NONPOINT",1999
"78","25021","2102002000","PM25-PRI",0.313,"NONPOINT",1999
"79","25021","2103001000","PM25-PRI",0.214,"NONPOINT",1999
"80","25021","2103002000","PM25-PRI",0.1,"NONPOINT",1999
"81","25023","2102001000","PM25-PRI",0.019,"NONPOINT",1999
"82","25023","2102002000","PM25-PRI",0.228,"NONPOINT",1999
"83","25023","2103001000","PM25-PRI",0.153,"NONPOINT",1999
"84","25023","2103002000","PM25-PRI",0.077,"NONPOINT",1999
"85","25025","2102001000","PM25-PRI",0.034,"NONPOINT",1999
"86","25025","2102002000","PM25-PRI",0.341,"NONPOINT",1999
"87","25025","2103001000","PM25-PRI",0.232,"NONPOINT",1999
"88","25025","2103002000","PM25-PRI",0.107,"NONPOINT",1999
"89","25027","2102001000","PM25-PRI",0.035,"NONPOINT",1999
"90","25027","2102002000","PM25-PRI",0.367,"NONPOINT",1999
"91","25027","2103001000","PM25-PRI",0.25,"NONPOINT",1999
"92","25027","2103002000","PM25-PRI",0.114,"NONPOINT",1999
"93","10001","10200219","PM25-PRI",6.414,"POINT",1999
"94","10001","2102002000","PM25-PRI",1.527,"NONPOINT",1999
"95","10001","2103001000","PM25-PRI",0.119,"NONPOINT",1999
"96","10001","2103002000","PM25-PRI",11.648,"NONPOINT",1999
"97","10003","10100212","PM25-PRI",140.463,"POINT",1999
"98","10003","2102002000","PM25-PRI",3.173,"NONPOINT",1999
"99","10003","2103001000","PM25-PRI",0.767,"NONPOINT",1999
"100","10003","2103002000","PM25-PRI",69.895,"NONPOINT",1999
"101","10005","10100202","PM25-PRI",986.659,"POINT",1999
"102","10005","10200202","PM25-PRI",3.293,"POINT",1999
"103","10005","2102002000","PM25-PRI",0.627,"NONPOINT",1999
"104","10005","2103001000","PM25-PRI",0.108,"NONPOINT",1999
"105","10005","2103002000","PM25-PRI",10.448,"NONPOINT",1999
"106","11001","10300209","PM25-PRI",121.602,"POINT",1999
"107","11001","2102002000","PM25-PRI",0.03,"NONPOINT",1999
"108","11001","2103002000","PM25-PRI",8.804,"NONPOINT",1999
"109","24001","10200203","PM25-PRI",176.23,"POINT",1999
"110","24001","10200212","PM25-PRI",97.261,"POINT",1999
"111","24001","2103002000","PM25-PRI",1629.523,"NONPOINT",1999
"112","24003","10100201","PM25-PRI",327.364,"POINT",1999
"113","24003","10100202","PM25-PRI",3076.235,"POINT",1999
"114","24003","2103002000","PM25-PRI",0,"NONPOINT",1999
"115","24005","10100203","PM25-PRI",1751.971,"POINT",1999
"116","24005","2103002000","PM25-PRI",0.928,"NONPOINT",1999
"117","24009","2103002000","PM25-PRI",0,"NONPOINT",1999
